A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Miss Bartlett,Lucy,0,1,the signora had no business to do it no business at all she promised us south rooms with a view close together instead of which here are north rooms looking into a courtyard and a long way apart oh lucy,and a cockney besides it might be london charlotte don t you feel too that we might be in london i can hardly believe that all kinds of other things are just outside i suppose it is one s being so tired,Lucy,F,major,,
Lucy,Miss Bartlett,1,2,and a cockney besides it might be london charlotte don t you feel too that we might be in london i can hardly believe that all kinds of other things are just outside i suppose it is one s being so tired,this meat has surely been used for soup,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,2,3,this meat has surely been used for soup,i want so to see the arno the rooms the signora promised us in her letter would have looked over the arno the signora had no business to do it at all oh it is a shame,Lucy,F,major,,
Lucy,Miss Bartlett,3,4,i want so to see the arno the rooms the signora promised us in her letter would have looked over the arno the signora had no business to do it at all oh it is a shame,any nook does for me but it does seem hard that you shouldn t have a view,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,4,5,any nook does for me but it does seem hard that you shouldn t have a view,charlotte you mustn t spoil me of course you must look over the arno too i meant that the first vacant room in the front,Lucy,F,major,,
Lucy,Miss Bartlett,5,6,charlotte you mustn t spoil me of course you must look over the arno too i meant that the first vacant room in the front,you must have it,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,6,7,you must have it,no no you must have it,Lucy,F,major,,
Lucy,Miss Bartlett,7,8,no no you must have it,i insist on it your mother would never forgive me lucy,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,8,9,i insist on it your mother would never forgive me lucy,she would never forgive me,Lucy,F,major,,
Mr. Emerson,Miss Bartlett,10,11,i have a view i have a view,a view oh a view how delightful a view is,Lucy; Miss Bartlett,M,intermediate,F,major
Miss Bartlett,Mr. Emerson,11,12,a view oh a view how delightful a view is,this is my son his name s george he has a view too,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
Mr. Emerson,Miss Bartlett,12,13,this is my son his name s george he has a view too,ah,George Emerson; Lucy; Miss Bartlett,M,intermediate,F,major
Miss Bartlett,Mr. Emerson,13,14,ah,what i mean is that you can have our rooms and we ll have yours we ll change,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
Mr. Emerson,Miss Bartlett,14,15,what i mean is that you can have our rooms and we ll have yours we ll change,thank you very much indeed that is out of the question,George Emerson; Lucy; Miss Bartlett,M,intermediate,F,major
Miss Bartlett,Mr. Emerson,15,16,thank you very much indeed that is out of the question,why,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
Mr. Emerson,Miss Bartlett,16,17,why,because it is quite out of the question thank you,George Emerson; Lucy; Miss Bartlett,M,intermediate,F,major
Miss Bartlett,Lucy,17,18,because it is quite out of the question thank you,you see we don t like to take,George Emerson; Lucy; Mr. Emerson,F,major,,
Lucy,Mr. Emerson,18,19,you see we don t like to take,but why women like looking at a view men don t george persuade them,George Emerson; Miss Bartlett; Mr. Emerson,,,M,intermediate
Mr. Emerson,George Emerson,19,20,but why women like looking at a view men don t george persuade them,it s so obvious they should have the rooms there s nothing else to say,George Emerson; Lucy; Miss Bartlett,M,intermediate,M,intermediate
George Emerson,Miss Bartlett,20,21,it s so obvious they should have the rooms there s nothing else to say,eat your dinner dear eat your dinner dear this pension is a failure to morrow we will make a change,Lucy; Miss Bartlett; Mr. Emerson,M,intermediate,F,major
Miss Bartlett,Lucy,21,22,eat your dinner dear eat your dinner dear this pension is a failure to morrow we will make a change,oh oh why it s mr beebe oh how perfectly lovely oh charlotte we must stop now however bad the rooms are oh,George Emerson; Lucy; Mr. Emerson,F,major,,
Lucy,Miss Bartlett,22,23,oh oh why it s mr beebe oh how perfectly lovely oh charlotte we must stop now however bad the rooms are oh,how do you do mr beebe i expect that you have forgotten us miss bartlett and miss honeychurch who were at tunbridge wells when you helped the vicar of st peter s that very cold easter,George Emerson; Miss Bartlett; Mr. Beebe; Mr. Emerson,,,F,major
Miss Bartlett,Lucy,23,24,how do you do mr beebe i expect that you have forgotten us miss bartlett and miss honeychurch who were at tunbridge wells when you helped the vicar of st peter s that very cold easter,i am so glad to see you just fancy how small the world is summer street too makes it so specially funny,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,,
Lucy,Miss Bartlett,24,25,i am so glad to see you just fancy how small the world is summer street too makes it so specially funny,miss honeychurch lives in the parish of summer street and she happened to tell me in the course of conversation that you have just accepted the living,George Emerson; Miss Bartlett; Mr. Beebe,,,F,major
Miss Bartlett,Lucy,25,26,miss honeychurch lives in the parish of summer street and she happened to tell me in the course of conversation that you have just accepted the living,yes i heard from mother so last week she didn t know that i knew you at tunbridge wells but i wrote back at once and i said mr beebe is,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,,
Lucy,Mr. Beebe,26,27,yes i heard from mother so last week she didn t know that i knew you at tunbridge wells but i wrote back at once and i said mr beebe is,quite right i move into the rectory at summer street next june i am lucky to be appointed to such a charming neighbourhood,George Emerson; Miss Bartlett; Mr. Beebe; Mr. Emerson,,,M,major
Mr. Beebe,Lucy,27,28,quite right i move into the rectory at summer street next june i am lucky to be appointed to such a charming neighbourhood,oh how glad i am the name of our house is windy corner there is mother and me generally and my brother though it s not often we get him to ch the church is rather far off i mean,George Emerson; Lucy; Miss Bartlett; Mr. Emerson,M,major,,
Lucy,Miss Bartlett,28,29,oh how glad i am the name of our house is windy corner there is mother and me generally and my brother though it s not often we get him to ch the church is rather far off i mean,lucy dearest let mr beebe eat his dinner,George Emerson; Miss Bartlett; Mr. Beebe; Mr. Emerson,,,F,major
Miss Bartlett,Mr. Beebe,29,30,lucy dearest let mr beebe eat his dinner,i am eating it thank you and enjoying it,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,M,major
Mr. Beebe,Miss Lavish,31,32,don t neglect the country round the first fine afternoon drive up to fiesole and round by settignano or something of that sort,no mr beebe you are wrong the first fine afternoon your ladies must go to prato,George Emerson; Lucy; Miss Bartlett; Miss Lavish; Mr. Emerson,M,major,F,intermediate
Miss Lavish,Miss Bartlett,32,33,no mr beebe you are wrong the first fine afternoon your ladies must go to prato,that lady looks so clever we are in luck,George Emerson; Lucy; Miss Bartlett; Mr. Beebe; Mr. Emerson,F,intermediate,F,major
Miss Lavish,Miss Bartlett,34,35,prato they must go to prato that place is too sweetly squalid for words i love it i revel in shaking off the trammels of respectability as you know,we are most grateful to you the first evening means so much when you arrived we were in for a peculiarly mauvais quart d heure do you by any chance know the name of an old man who sat opposite us at dinner,George Emerson; Lucy; Miss Bartlett; Mr. Beebe; Mr. Emerson,F,intermediate,F,major
Miss Bartlett,Mr. Beebe,35,36,we are most grateful to you the first evening means so much when you arrived we were in for a peculiarly mauvais quart d heure do you by any chance know the name of an old man who sat opposite us at dinner,emerson,Lucy; Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,36,37,emerson,is he a friend of yours,Lucy; Miss Bartlett,M,major,F,major
Miss Bartlett,Mr. Beebe,37,38,is he a friend of yours,we are friendly as one is in pensions,Lucy; Mr. Beebe,F,major,M,major
Mr. Beebe,Miss Bartlett,38,39,we are friendly as one is in pensions,then i will say no more i am as it were the chaperon of my young cousin lucy and it would be a serious thing if i put her under an obligation to people of whom we know nothing his manner was somewhat unfortunate i hope i acted for the best,Lucy; Miss Bartlett,M,major,F,major
