uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,I suppose you would like to take them to the Casino to play roulette Well excuse my speaking so plainly but I know how addicted you are to gambling Though I am not your mentor nor wish to be at least I have a right to require that you shall not actually compromise me,1,75.93,66.67,20.37,18.52,9.26,0,7.41,0,1.85,1.85,3.7,12.96,11.11,9.26,7.41,5.56,1.85
p00001_A,00001,A,But you will soon be in receipt of some Let us calculate We must translate these roubles into thalers Here take 100 thalers as a round sum The rest will be safe in my hands You must not be offended at what I say You are too touchy about these things What I have said I have said merely as a warning To do so is no more than my right,1,81.69,69.01,21.13,14.08,7.04,2.82,4.23,0,0,7.04,4.23,14.08,16.9,8.45,7.04,2.82,5.63
p00002_A,00002,A,To spit into it,1,75,75,25,0,0,0,0,0,0,25,0,50,0,0,0,0,0
p00003_A,00003,A,Oh no it is not true And you you ought to be ashamed of yourself for traducing your own country,1,75,70,25,20,0,0,20,0,0,5,0,15,15,0,5,10,0
p00004_A,00004,A,To what idol,1,66.67,66.67,33.33,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0
p00005_A,00005,A,My good sir may I ask you what this is that you have gone and done,1,87.5,75,43.75,25,12.5,0,12.5,0,0,18.75,0,0,25,0,6.25,0,0
p00006_A,00006,A,With a German Why the German was the Baron Burmergelm a most important personage I hear that you have been rude both to him and to the Baroness,1,78.57,67.86,14.29,10.71,3.57,0,3.57,3.57,0,3.57,17.86,10.71,10.71,3.57,3.57,0,7.14
p00007_A,00007,A,But I understand that you simply terrified them my good sir,1,81.82,63.64,45.45,36.36,18.18,0,9.09,0,9.09,9.09,0,0,0,9.09,9.09,0,0
p00008_A,00008,A,You are only making fun of me,1,85.71,85.71,28.57,28.57,14.29,0,14.29,0,0,0,0,28.57,14.29,14.29,0,0,0
p00009_A,00009,A,Enough sir Enough I say Once and for all I must endeavour to rid myself of you and your impertinence To justify yourself in the eyes of the Baron and Baroness will be impossible Any intercourse with you even though it be confined to a begging of their pardons they would look upon as a degradation I may tell you that on learning that you formed part of my household the Baron approached me in the Casino and demanded of me additional satisfaction Do you understand then what it is that you have entailed upon me upon me my good sir You have entailed upon me the fact of my being forced to sue humbly to the Baron and to give him my word of honour that this very day you shall cease to belong to my establishment,1,76.09,68.12,25.36,19.57,10.14,0,7.25,0.72,1.45,5.8,5.8,18.12,8.7,2.9,5.8,0,5.07
p00010_A,00010,A,No I of my own initiative thought that I ought to afford him that satisfaction and with it he was satisfied So we must part good sir It is my duty to hand over to you forty g lden three florins as per the accompanying statement Here is the money and here the account which you are at liberty to verify Farewell From henceforth we are strangers From you I have never had anything but trouble and unpleasantness I am about to call the landlord and explain to him that from tomorrow onwards I shall no longer be responsible for your hotel expenses Also I have the honour to remain your obedient servant,1,69.91,65.49,22.12,15.93,7.08,1.77,4.42,2.65,0,6.19,4.42,15.04,11.5,5.31,7.08,2.65,2.65
p00011_A,00011,A,What Do you intend to go on with this damned nonsense Do you not realise the harm that it is doing me I beg of you not to laugh at me sir not to laugh at me for we have police authorities here who out of respect for my rank and for that of the Baron In short sir I swear to you that I will have you arrested and marched out of the place to prevent any further brawling on your part Do you understand what I say,1,79.78,69.66,26.97,19.1,8.99,1.12,7.87,0,0,7.87,3.37,22.47,8.99,1.12,2.25,3.37,2.25
p00012_A,00012,A,And then you will have ruined my whole family I and my family are her heirs for she has no nearer relatives than ourselves I tell you frankly that my affairs are in great very great disorder how much they are so you yourself are partially aware If she should lose a large sum or maybe her whole fortune what will become of us of my children or of me Alexis Ivanovitch I beg of you to save us,1,83.54,68.35,29.11,26.58,10.13,3.8,6.33,5.06,1.27,2.53,1.27,10.13,11.39,6.33,10.13,1.27,6.33
p00013_A,00013,A,Refuse to take her about Simply leave her alone,1,88.89,66.67,22.22,22.22,0,0,0,22.22,0,0,0,22.22,0,33.33,0,0,0
p00014_A,00014,A,Stop her stop her,1,50,50,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0
p00015_A,00015,A,Oh Alexis Ivanovitch Save me save me Have some mercy upon me Have mercy mercy,1,53.33,46.67,20,20,20,0,0,0,0,0,0,6.67,13.33,0,0,0,6.67
