pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Lilia,Mr. Herriton,0,1,quite an ovation they ll take us for royalty oh mr kingcroft get us foot warmers,remember that it is only by going off the track that you get to know the country see the little towns gubbio pienza cortona san gemignano monteriano and don t let me beg you go with that awful tourist idea that italy s only a museum of antiquities and art love and understand the italians for the people are more marvellous than the land,Harriet; Irma; Mr. Herriton; Mr. Kingcroft; Mrs. Herriton; Mrs. Theobald,F,intermediate,M,major,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1
00001,Mr. Herriton,Lilia,1,2,remember that it is only by going off the track that you get to know the country see the little towns gubbio pienza cortona san gemignano monteriano and don t let me beg you go with that awful tourist idea that italy s only a museum of antiquities and art love and understand the italians for the people are more marvellous than the land,how i wish you were coming philip,Harriet; Irma; Lilia; Mrs. Herriton; Mrs. Theobald,M,major,F,intermediate,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0
00002,Lilia,Mr. Herriton,2,3,how i wish you were coming philip,i wish i were,Harriet; Irma; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,F,intermediate,M,major,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
00003,Mr. Herriton,Lilia,3,4,i wish i were,good bye dear every one what a whirl good bye darling mind you re always good and do what granny tells you,Harriet; Irma; Lilia; Mrs. Herriton; Mrs. Theobald,M,major,F,intermediate,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1
00004,Lilia,Irma,4,5,good bye dear every one what a whirl good bye darling mind you re always good and do what granny tells you,i ll do my best,Harriet; Irma; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,F,intermediate,F,minor,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0
00005,Irma,Mrs. Herriton,5,6,i ll do my best,she is sure to be good,Harriet; Lilia; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,F,minor,F,intermediate,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
00006,Mrs. Herriton,Lilia,6,7,she is sure to be good,caroline my caroline jump in or your chaperon will go off without you,Harriet; Irma; Lilia; Mr. Herriton; Mrs. Theobald,F,intermediate,F,intermediate,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0
00007,Lilia,Harriet,7,8,caroline my caroline jump in or your chaperon will go off without you,handkerchiefs and collars in my inlaid box i ve lent you my inlaid box,Caroline Abbott; Harriet; Irma; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,F,intermediate,F,major,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
00008,Harriet,Lilia,8,9,handkerchiefs and collars in my inlaid box i ve lent you my inlaid box,good old harry,Irma; Lilia; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,F,major,F,intermediate,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
00009,Mr. Kingcroft,Lilia,10,11,good bye mrs charles may you enjoy yourself and may god bless you,oh i am so sorry but you do look so funny oh you all look so funny waving oh pray,Harriet; Irma; Lilia; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,M,minor,F,intermediate,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1
