uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,hamidullah hamidullah am i late,1,60,40,20,20,20,0,0,0,0,0,0,0,20,0,0,0,0
p00001_A,00001,A,do not apologize you are always late,1,85.71,71.43,14.29,14.29,0,0,14.29,0,0,0,0,0,28.57,14.29,0,14.29,0
p00002_A,00002,A,kindly answer my question am i late has mahmoud ali eaten all the food if so i go elsewhere mr mahmoud ali how are you,1,68,56,16,16,12,0,4,0,0,0,4,0,12,16,8,0,4
p00003_A,00003,A,thank you dr aziz i am dying,1,57.14,42.86,28.57,28.57,14.29,0,14.29,0,0,0,0,0,14.29,0,0,0,0
p00004_A,00004,A,dying before your dinner oh poor mahmoud ali,1,50,25,12.5,12.5,0,0,12.5,0,0,0,0,12.5,0,0,12.5,0,0
p00005_A,00005,A,hamidullah here is actually dead he passed away just as you rode up on your bike,1,75,62.5,18.75,18.75,0,0,12.5,6.25,0,0,0,18.75,6.25,18.75,6.25,0,0
p00006_A,00006,A,yes that is so imagine us both as addressing you from another and a happier world,1,81.25,68.75,25,12.5,0,6.25,6.25,0,0,12.5,6.25,12.5,6.25,6.25,18.75,0,12.5
p00007_A,00007,A,does there happen to be such a thing as a hookah in that happier world of yours,1,88.24,76.47,17.65,5.88,0,0,5.88,0,0,11.76,11.76,23.53,11.76,5.88,5.88,0,0
p00008_A,00008,A,aziz don t chatter we are having a very sad talk,1,63.64,45.45,9.09,9.09,0,9.09,0,0,0,0,9.09,0,18.18,9.09,0,0,0
p00009_A,00009,A,well look at my own experience this morning,1,62.5,50,25,12.5,12.5,0,0,0,0,12.5,0,12.5,0,12.5,0,0,0
p00010_A,00010,A,i only contend that it is possible in england,1,77.78,66.67,33.33,11.11,11.11,0,0,0,0,22.22,0,11.11,11.11,11.11,0,0,0
p00011_A,00011,A,it is impossible here aziz the red nosed boy has again insulted me in court i do not blame him he was told that he ought to insult me until lately he was quite a nice boy but the others have got hold of him,1,82.22,68.89,24.44,17.78,6.67,0,0,11.11,0,6.67,6.67,8.89,15.56,8.89,4.44,2.22,0
p00012_A,00012,A,yes they have no chance here that is my point they come out intending to be gentlemen and are told it will not do look at lesley look at blakiston now it is your red nosed boy and fielding will go next why i remember when turton came out first it was in another part of the province you fellows will not believe me but i have driven with turton in his carriage turton oh yes we were once quite intimate he has shown me his stamp collection,1,78.41,61.36,20.45,14.77,5.68,1.14,2.27,3.41,2.27,5.68,1.14,10.23,14.77,6.82,4.55,3.41,4.55
p00013_A,00013,A,he would expect you to steal it now turton but red nosed boy will be far worse than turton,1,73.68,52.63,15.79,10.53,0,0,5.26,5.26,0,5.26,0,10.53,15.79,5.26,10.53,0,0
p00014_A,00014,A,i do not think so they all become exactly the same not worse not better i give any englishman two years be he turton or burton it is only the difference of a letter and i give any englishwoman six months all are exactly alike do you not agree with me,1,84.31,64.71,15.69,13.73,7.84,0,1.96,1.96,1.96,1.96,5.88,3.92,9.8,5.88,5.88,7.84,11.76
